,"field_name","continuous"
46,"Hand grip strength (left)",1
47,"Hand grip strength (right)",1
48,"Waist circumference",1
49,"Hip circumference",1
50,"Standing height",1
54,"UK Biobank assessment centre",0
102,"Pulse rate automated reading",1
120,"Birth weight known",0
130,"Place of birth in UK - east co-ordinate",0
132,"Job code",0
137,"Number of treatments/medications taken",1
189,"Townsend deprivation index at recruitment",1
398,"Number of correct matches in round",1
399,"Number of incorrect matches in round",1
400,"Time to complete round",1
404,"Duration to first press of snap-button in each round",1
757,"Time employed in main current job",1
845,"Age completed full time education",1
864,"Number of days/week walked 10+ minutes",1
874,"Duration of walks",1
884,"Number of days/week of moderate physical activity 10+ minutes",1
894,"Duration of moderate activity",1
904,"Number of days/week of vigorous physical activity 10+ minutes",1
914,"Duration of vigorous activity",1
924,"Usual walking pace",0
1001,"Duration of strenuous sports",0
1160,"Sleep duration",1
1200,"Sleeplessness / insomnia",0
1239,"Current tobacco smoking",0
1249,"Past tobacco smoking",0
1279,"Exposure to tobacco smoke outside home",1
1329,"Oily fish intake",0
1339,"Non-oily fish intake",0
1488,"Tea intake",1
1558,"Alcohol intake frequency.",0
1628,"Alcohol intake versus 10 years previously",0
1647,"Country of birth (UK/elsewhere)",0
1707,"Handedness (chirality/laterality)",0
1717,"Skin colour",0
2040,"Risk taking",0
2050,"Frequency of depressed mood in last 2 weeks",1
2090,"Seen doctor (GP) for nerves anxiety tension or depression",0
2100,"Seen a psychiatrist for nerves anxiety tension or depression",0
2178,"Overall health rating",0
2188,"Long-standing illness disability or infirmity",0
2227,"Other eye problems",0
2247,"Hearing difficulty/problems",0
2296,"Falls in the last year",0
2316,"Wheeze or whistling in the chest in last year",0
2335,"Chest pain or discomfort",0
2443,"Diabetes diagnosed by doctor",0
2453,"Cancer diagnosed by doctor",0
2473,"Other serious medical condition/disability diagnosed by doctor",0
2492,"Taking other prescription medications",0
2644,"Light smokers, at least 100 smokes in lifetime",0
2966,"Age high blood pressure diagnosed",1
3606,"Chest pain or discomfort walking normally",0
3751,"Chest pain or discomfort when walking uphill or hurrying",0
3761,"Age hay fever rhinitis or eczema diagnosed",1
3786,"Age asthma diagnosed",1
3799,"Headaches for 3+ months",0
4079,"Diastolic blood pressure, automated reading",1
4080,"Systolic blood pressure, automated reading",1
4194,"Pulse rate",1
4250,"Number of digits to be memorised/recalled",1
4254,"Time first key touched",1
4255,"Time last key touched",1
4256,"Time elapsed",1
4282,"Maximum digits remembered correctly",1
4283,"Number of rounds of numeric memory test performed",1
4288,"Time to answer",1
4291,"Number of attempts",1
4292,"PM: initial answer",0
4407,"Average monthly red wine intake",1
4429,"Average monthly beer plus cider intake",1
4440,"Average monthly spirits intake",1
4526,"Happiness",0
4598,"Ever depressed for a whole week",0
4609,"Longest period of depression",1
4620,"Number of depression episodes",1
4717,"Shortness of breath walking on level ground",0
4803,"Tinnitus",0
4957,"FI3 : word interpolation",0
4968,"FI4 : positional arithmetic",0
5001,"FI7 : synonym",0
5012,"FI8 : chained arithmetic",0
5556,"FI9 : concept interpolation",0
5699,"FI10 : arithmetic sequence recognition",0
5779,"FI11 : antonym",0
6138,"Qualifications",0
6142,"Current employment status",0
6145,"Illness injury bereavement stress in last 2 years",0
6150,"Vascular/heart problems diagnosed by doctor",0
6152,"Blood clot DVT bronchitis emphysema asthma rhinitis eczema allergy diagnosed by doctor",0
6153,"Medication for cholesterol blood pressure diabetes or take exogenous hormones",0
6155,"Vitamin and mineral supplements",0
6164,"Types of physical activity in last 4 weeks",0
6177,"Medication for cholesterol blood pressure or diabetes ",0
6179,"Mineral and other dietary supplements",0
6312,"Value entered",1
6332,"Item selected for each puzzle",1
6333,"Duration spent answering each puzzle",1
6348,"Duration to complete numeric path (trail #1)",1
6349,"Total errors traversing numeric path (trail #1)",1
6350,"Duration to complete alphanumeric path (trail #2)",1
6351,"Total errors traversing alphanumeric path (trail #2)",1
6362,"First code array presented",0
6373,"Number of puzzles correctly solved",1
6374,"Number of puzzles viewed",1
6382,"Number of puzzles correct",1
6383,"Number of puzzles attempted",1
6772,"Interval between previous point and current one in numeric path (trail #1)",1
6773,"Interval between previous point and current one in alphanumeric path (trail #2)",1
12673,"Heart rate during PWA",1
12674,"Systolic brachial blood pressure during PWA",1
12675,"Diastolic brachial blood pressure during PWA",1
12676,"Peripheral pulse pressure during PWA",1
12677,"Central systolic blood pressure during PWA",1
12678,"Central pulse pressure during PWA",1
12679,"Number of beats in waveform average for PWA",1
12680,"Central augmentation pressure during PWA",1
12681,"Augmentation index for PWA",1
12682,"Cardiac output during PWA",1
